student_number,milestone,status,date,file_path,remarks,reviewed_by,review_date
,Guidance Committee Members,Not Started,,,,,
,Plan of Study (POS),Not Started,,,,,
,General / Comprehensive Examination - Passed,Not Started,,,,,
,Thesis Proposal / Outline – Approved,Not Started,,,,,
,Thesis Final Examination / Defense – Passed,Not Started,,,,,
,Final Manuscript Submission,Not Started,,,,,
,Guidance Committee Members,Not Started,,,,,
,Plan of Study (POS),Not Started,,,,,
,General / Comprehensive Examination - Passed,Not Started,,,,,
,Thesis Proposal / Outline – Approved,Not Started,,,,,
,Thesis Final Examination / Defense – Passed,Not Started,,,,,
,Final Manuscript Submission,Not Started,,,,,
,Guidance Committee Members,Not Started,,,,,
,Plan of Study (POS),Not Started,,,,,
,General / Comprehensive Examination - Passed,Not Started,,,,,
,Thesis Proposal / Outline – Approved,Not Started,,,,,
,Thesis Final Examination / Defense – Passed,Not Started,,,,,
,Final Manuscript Submission,Not Started,,,,,
,Guidance Committee Members,Not Started,,,,,
,Plan of Study (POS),Not Started,,,,,
,General / Comprehensive Examination - Passed,Not Started,,,,,
,Thesis Proposal / Outline – Approved,Not Started,,,,,
,Thesis Final Examination / Defense – Passed,Not Started,,,,,
,Final Manuscript Submission,Not Started,,,,,
,Guidance Committee Members,Not Started,,,,,
,Plan of Study (POS),Not Started,,,,,
,General / Comprehensive Examination - Passed,Not Started,,,,,
,Thesis Proposal / Outline – Approved,Not Started,,,,,
,Thesis Final Examination / Defense – Passed,Not Started,,,,,
,Final Manuscript Submission,Not Started,,,,,
,Guidance Committee Members,Not Started,,,,,
,Plan of Study (POS),Not Started,,,,,
,General / Comprehensive Examination - Passed,Not Started,,,,,
,Thesis Proposal / Outline – Approved,Not Started,,,,,
,Thesis Final Examination / Defense – Passed,Not Started,,,,,
,Final Manuscript Submission,Not Started,,,,,
S001,Guidance Committee Members,Not Started,,,,,
S001,Plan of Study (POS),Approved,2026-05-15,,POS verified by Dr. Jane Smith,Dr. Jane Smith,2026-05-15 23:15:19
S001,General / Comprehensive Examination - Passed,Pending,2026-05-15,student_uploads\S001\milestones\General___Comprehensive_Examination_-_Passed_20260515_221155.pdf,,,
S001,Thesis Proposal / Outline – Approved,Not Started,,,,,
S001,Thesis Final Examination / Defense – Passed,Not Started,,,,,
S001,Final Manuscript Submission,Not Started,,,,,
S002,Guidance Committee Members,Not Started,,,,,
S002,Plan of Study (POS),Not Started,,,,,
S002,General / Comprehensive Examination - Passed,Not Started,,,,,
S002,Thesis Proposal / Outline – Approved,Not Started,,,,,
S002,Thesis Final Examination / Defense – Passed,Not Started,,,,,
S002,Final Manuscript Submission,Not Started,,,,,
S003,Guidance Committee Members,Not Started,,,,,
S003,Plan of Study (POS),Not Started,,,,,
S003,General / Comprehensive Examination - Passed,Not Started,,,,,
S003,Thesis Proposal / Outline – Approved,Not Started,,,,,
S003,Thesis Final Examination / Defense – Passed,Not Started,,,,,
S003,Final Manuscript Submission,Not Started,,,,,
S004,Guidance Committee Members,Not Started,,,,,
S004,Plan of Study (POS),Not Started,,,,,
S004,General / Comprehensive Examination - Passed,Not Started,,,,,
S004,Thesis Proposal / Outline – Approved,Not Started,,,,,
S004,Thesis Final Examination / Defense – Passed,Not Started,,,,,
S004,Final Manuscript Submission,Not Started,,,,,
S005,Advisory Committee Formation,Not Started,,,,,
S005,Qualifying Examination,Not Started,,,,,
S005,Plan of Study (POS),Not Started,,,,,
S005,General / Comprehensive Examination - Passed,Not Started,,,,,
S005,Dissertation Proposal / Outline - Approved,Not Started,,,,,
S005,Pre‑dissertation Seminar / Colloquium – Completed,Not Started,,,,,
S005,Dissertation Final Defense – Passed,Not Started,,,,,
S005,Final Manuscript Submission,Not Started,,,,,
S006,Advisory Committee Formation,Not Started,,,,,
S006,Qualifying Examination,Not Started,,,,,
S006,Plan of Study (POS),Not Started,,,,,
S006,General / Comprehensive Examination - Passed,Not Started,,,,,
S006,Dissertation Proposal / Outline - Approved,Not Started,,,,,
S006,Pre‑dissertation Seminar / Colloquium – Completed,Not Started,,,,,
S006,Dissertation Final Defense – Passed,Not Started,,,,,
S006,Final Manuscript Submission,Not Started,,,,,
S007,Supervisory Committee Formation,Not Started,,,,,
S007,Plan of Research,Not Started,,,,,
S007,Seminar Series (3 seminars),Not Started,,,,,
S007,Research Progress Review,Not Started,,,,,
S007,Thesis Outline,Not Started,,,,,
S007,Publication (3 articles),Not Started,,,,,
S007,Final Oral Examination,Not Started,,,,,
S007,Thesis Manuscript Submission,Not Started,,,,,
S008,Advisory Committee Formation,Not Started,,,,,
S008,Qualifying Examination,Not Started,,,,,
S008,Plan of Study (POS),Not Started,,,,,
S008,General / Comprehensive Examination - Passed,Not Started,,,,,
S008,Dissertation Proposal / Outline - Approved,Not Started,,,,,
S008,Pre‑dissertation Seminar / Colloquium – Completed,Not Started,,,,,
S008,Dissertation Final Defense – Passed,Not Started,,,,,
S008,Final Manuscript Submission,Not Started,,,,,
